name,Mhy500,Mhy500-,Mhy500+,Mhy2500,Mhy2500-,Mhy2500+
Abell2697,7.7864798382313865,0.8806131798698263,0.9154190353640227,2.4732444449817006,0.10067391539467876,0.10814726915520095
Abell0068,9.680842899770255,0.9706473916933639,0.9945891375586764,3.7932633419176818,0.18286390521534565,0.18216934176310878
Abell2813,8.223580615749508,0.9505952667095439,1.00096011605396,2.3883383081968668,0.10418822390027752,0.11103348256483533
Abell0115S,4.190734999082242,0.38771035680049193,0.4665113756082851,0.4641774846028793,0.1655106871687815,0.14692312467903204
Abell141,4.9147454161096205,0.3199037768614863,0.3662186649993357,0.38434696175941613,0.1439406795380801,0.08880142647773143
ZwCl0104.4+0048,3.378600137918238,0.24251109446725755,0.2538583182690594,0.803977525946222,0.028432766931052504,0.03629807328702969
Abell0209,5.773582048120491,0.4845740003811232,0.5242558402394039,1.893681133423124,0.14390438642168346,0.17975047749062972
Abell0267,8.863378308501522,0.9666676511510939,0.9985874291263251,2.1840897570186555,0.13540192600293657,0.19569026723860347
Abell0291,3.989105659126618,0.4093600627720063,0.3665442985030632,1.3012649374838607,0.09671157079986423,0.1056524010795447
Abell0383,5.145686974316884,0.5988561866393826,0.5854509226322814,2.010708496695416,0.08209476831656345,0.08235590630247032
Abell0521,12.500068858790423,0.9238651301539401,0.9043371950590177,0.3344501998852707,0.06788164728049033,0.060658524213187355
Abell0586,6.147766323809125,0.4342615365813476,0.44255905653173755,2.7195304050482414,0.1379263495976897,0.18303025219074723
Abell0611,8.64774953105836,0.9505939956010414,0.9675073270042064,2.336092600875071,0.07847147490965001,0.08119879203530345
Abell0697,13.268497831307682,1.7404129560548003,1.7745392311584829,3.878040761965279,0.17012092281395566,0.1764604362503094
ZwCl0857.9+2107,3.2396618126630985,0.4167945416837588,0.40431225257830256,1.644665271065761,0.1868446297396172,0.2580672593836991
Abell0750,3.8576700265217108,0.28040487377028817,0.2979811134714419,1.9670453979969054,0.08951186062986939,0.09913569132470251
Abell0773,9.628025087280523,3.376060745768217,1.8974560344235716,2.6510416999575828,0.18744619716981128,0.2776461612457488
Abell0781,nan,nan,nan,nan,nan,nan
Abell0901,1.9992973629902746,0.19158485552050816,0.16838427679118065,1.054930759690796,0.045164088386958914,0.05272338218471829
Abell0907,5.631563129793223,0.4738480685803738,0.4518619348533913,2.637240423146422,0.1894747570958816,0.20916621451050066
Abell0963,7.644740657168601,0.9316514575305689,0.7903648666776214,2.691219575515401,0.11291326144759596,0.1275965336747275
ZwCl1021.0+0426,9.413481164831271,0.6109049954797326,0.5944268168914838,3.145125088534738,0.0676962589951775,0.06521713376590375
Abell1451,16.470443921330435,2.7426752705781854,2.539010546622528,2.476704529579709,0.18059301319383128,0.1891065121380494
ZwCl1231.4+1007,4.972027889879976,0.7903761987622514,0.8119207963389614,0.11198013786034891,0.09622097011244099,0.06886820694892011
Abell1689,10.710794585591215,1.2464302152829065,1.170022701178295,5.2792570823277085,0.20934949825053942,0.20703899241623067
Abell1758N,nan,nan,nan,nan,nan,nan
Abell1763,7.323655123072912,1.3142581265348665,0.9017234644363301,2.039811389735266,0.13810480627251814,0.1593988846121541
Abell1835,nan,nan,nan,nan,nan,nan
Abell1914,15.77463205071206,2.7438695448721653,2.8906214167654904,4.150823512726883,0.25838575549255693,0.22963062819067567
ZwCl1454.8+2233,5.356641959527584,0.3562449838467394,0.3372326724045638,1.8211116238504643,0.05919943101048501,0.07096226724070877
Abell2009,6.066594033371776,0.6677633006511213,0.6384760630645351,3.06934446277489,0.14452159449763877,0.13797074874384377
ZwCl1459.4+4240,7.904527124868191,0.9220395836818739,0.9271121640878589,1.949850346374441,0.10969230533694971,0.10535946762082751
RXCJ1504.1-0248,8.243114029222202,0.3374196398531751,0.3209100010826763,3.512646152565835,0.057247503973390006,0.052816398016800006
Abell2111,7.5153909433623065,0.6306650435336788,0.7006610973544314,1.8994907782653774,0.1297141612507019,0.12518430879739784
Abell2204,6.585325572884056,0.4037110595245201,0.4095606301427138,4.0150538163157625,0.11558966223105877,0.10258032551290563
Abell2219,nan,nan,nan,nan,nan,nan
RXJ1720.1+2638,6.172120231753481,0.44733278452842135,0.43300459252091505,3.013425526277268,0.14131675232897503,0.14758092099872502
Abell2261,6.594367974191359,0.6078274173900301,0.5571215931374826,3.2751256424822044,0.1365668018942544,0.1431309301980194
RXCJ2102.1-2431,7.874039893452483,3.725295006978655,1.4353738601191401,1.9277099399909132,0.1698880017822041,0.12118753015162095
RXJ2129.6+0005,6.011959108609305,0.4566425499667288,0.41880437838300505,2.1642728112978924,0.09759776912631002,0.09185016727634189
Abell2390,13.194723848111646,1.2983333093702902,3.990035692133813,4.788605332109241,0.5147656930633401,0.37176883878152317
Abell2537,6.122000320360783,0.7065853087823095,0.7535603793138176,2.5071354794207137,0.15917507816208096,0.17927184023984408
Abell2552,6.675351726737137,0.8107370170250802,0.8112129292140339,2.8633577306721256,0.1311829525712669,0.14466718564860379
Abell2631,7.410962266652057,0.6832298819484639,0.6974141545159301,2.259609209940677,0.12966425608210097,0.14101254651329378
Abell2645,9.39678282040541,1.6437479375211652,1.6616170112078315,2.045313150443358,0.10956157098785783,0.12458706170408378
